JML,NAMA_PERALATAN,Jenis_Alat,MEREK,TIPE,BUATAN,TAHUN_PEMBUATAN,KATEGORI_KERUSAKAN,KONDISI ,Sertifikasi ,Keterangan
20,FIDS 020,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
21,FIDS 021,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
22,FIDS 022,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2019,4,100,1,Rusak
23,FIDS 023,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2017,2,60,1,Normal
24,FIDS 024,FIDS CLIENT,Raspberry/LG,,UK/Korsel,2016,3,40,1,Normal
25,FIDS 025,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,2,60,1,Perbaikan
26,FIDS 026,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,2,60,1,Rusak
27,FIDS 027,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,2,60,1,Normal
28,FIDS 028,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Normal
29,FIDS 029,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,1,60,1,Normal
30,FIDS 030,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,3,40,1,Normal
31,FIDS 031,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2017,2,60,1,Normal
32,FIDS 032,FIDS CLIENT,Intel NUC/LG,,UK/Korsel,2018,1,80,1,Normal
33,FIDS 033,FIDS CLIENT,Alaska F1/LG,,UK/Korsel,2016,1,40,1,Perbaikan
1,CCTV SERVER01,CCTV SERVER,Supermicro,,USA,2016,4,80,1,Normal
2,CCTV SERVER02,CCTV SERVER,Supermicro,,USA,2016,4,80,1,Normal
3,CCTV SERVER APPRON,CCTV SERVER,HP,Tower,USA,2017,4,87,1,Perbaikan
4,CCTV SERVER HUAWEI,CCTV SERVER,HUAWEI,,CINA,2020,4,100,1,Normal
1,PC CLIENT,PC,Dell,Optiplex 7020,USA,2016,1,40,1,Rusak
2,PC CLIENT,PC,Lenovo,Legion,USA,2017,2,60,1,Normal
3,PC CLIENT,PC,HP,Tower,USA,2017,3,60,1,Normal
1,CCTV001,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Rusak
2,CCTV002,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Rusak
3,CCTV003,CCTV ,Sony,SNC EP521,Jepang,2016,1,40,1,Rusak
4,CCTV004,CCTV ,Sony,SNC EP521,Jepang,2016,3,40,1,Perbaikan
5,CCTV005,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
6,CCTV006,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Rusak
7,CCTV007,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Rusak
8,CCTV008,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Perbaikan
9,CCTV009,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Normal
10,CCTV010,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Normal
11,CCTV011,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
12,CCTV012,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Normal
13,CCTV013,CCTV ,Sony,SNC DH110,Jepang,2016,4,40,1,Perbaikan
14,CCTV014,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Normal
15,CCTV015,CCTV ,Sony,SNC EP521,Jepang,2016,2,40,1,Normal
16,CCTV016,CCTV ,Sony,SNC EP521,Jepang,2016,1,40,1,Normal
17,CCTV017,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Rusak
18,CCTV018,CCTV ,Sony,SNC DH110,Jepang,2018,4,80,1,Normal
19,CCTV019,CCTV ,Sony,SNC DH110,Jepang,2019,4,100,1,Rusak
20,CCTV020,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
21,CCTV021,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Rusak
22,CCTV022,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Rusak
23,CCTV023,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
24,CCTV024,CCTV ,Sony,SNC DH110,Jepang,2015,1,20,1,Normal
25,CCTV025,CCTV ,Sony,SNC EP550,Jepang,2016,3,40,1,Normal
26,CCTV026,CCTV ,Sony,SNC EP550,Jepang,2016,2,40,1,Normal
27,CCTV027,CCTV ,Sony,SNC DH110,Jepang,2019,4,100,1,Normal
28,CCTV028,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Normal
29,CCTV029,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
30,CCTV030,CCTV ,Sony,SNC DH110,Jepang,2016,2,40,1,Normal
31,CCTV031,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Normal
32,CCTV032,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Perbaikan
33,CCTV033,CCTV ,Sony,SNC EP521,Jepang,2016,4,40,1,Normal
34,CCTV034,CCTV ,Sony,SNC EP521,Jepang,2016,4,40,1,Normal
35,CCTV035,CCTV ,Sony,SNC DH110,Jepang,2016,3,40,1,Normal
36,CCTV036,CCTV ,Sony,SNC DH110,Jepang,2016,1,40,1,Normal
37,CCTV037,CCTV ,DAHUA,DH-SD65230-HNI,China,2015,1,20,1,Normal
38,CCTV038,CCTV ,DAHUA,DH-SD65230-HNI,China,2015,3,20,1,Normal
39,CCTV039,CCTV ,DAHUA,DH-SD65230-HNI,China,2015,2,20,1,Normal
40,CCTV040,CCTV ,SONY,,,,1,,1,Rusak
41,CCTV041,CCTV ,SONY,,,,,,1,Normal
42,CCTV042,CCTV ,SONY,,,,,,1,Perbaikan
43,CCTV043,CCTV ,Sony,,Jepang,2016,1,40,1,Normal
44,CCTV044,CCTV ,Sony,,Jepang,2016,2,40,1,Normal
45,CCTV045,CCTV ,Sony,,Jepang,2015,1,20,1,Rusak
46,CCTV046,CCTV ,Sony,,Jepang,2018,4,80,1,Rusak
47,CCTV047,CCTV ,Sony,,Jepang,2019,4,100,1,Normal
48,CCTV048,CCTV ,Sony,,Jepang,2016,1,40,1,Normal
49,CCTV049,CCTV ,Sony,,Jepang,2016,3,40,1,Normal
50,CCTV050,CCTV ,Sony,,Jepang,2016,2,40,1,Normal
51,CCTV051,CCTV ,Sony,,Jepang,2016,1,40,1,Normal
52,CCTV052,CCTV ,Sony,,Jepang,2016,2,40,1,Normal
53,CCTV053,CCTV ,Sony,,Jepang,2016,3,40,1,Perbaikan
54,CCTV054,CCTV ,Sony,,Jepang,2016,,40,1,Rusak
55,CCTV055,CCTV ,Sony,,Jepang,2016,,40,1,Perbaikan
56,CCTV056,CCTV ,Sony,,Jepang,2016,,40,1,Normal
57,CCTV057,CCTV ,Sony,,Jepang,2016,,40,1,Normal
58,CCTV058,CCTV ,Sony,,Jepang,2016,,40,1,Normal
59,CCTV059,CCTV ,Sony,,Jepang,2016,,40,1,Perbaikan
60,CCTV060,CCTV ,Sony,,Jepang,2016,,40,1,Rusak
61,CCTV061,CCTV ,Sony,,Jepang,2016,,40,1,Normal
62,CCTV062,CCTV ,Sony,,Jepang,2016,,40,1,Normal
63,CCTV063,CCTV ,Sony,,Jepang,2016,,40,1,Normal
64,CCTV064,CCTV ,Sony,,Jepang,2016,,40,1,Normal
65,CCTV065,CCTV ,Sony,,Jepang,2016,,40,1,Rusak
66,CCTV066,CCTV ,Sony,,Jepang,2016,,40,1,Perbaikan
67,CCTV067,CCTV ,Sony,,Jepang,2016,,40,1,Perbaikan
68,CCTV068,CCTV ,Sony,,Jepang,2016,,40,1,Normal
69,CCTV069,CCTV ,Sony,,Jepang,2016,,40,1,Normal
70,CCTV070,CCTV ,Sony,,Jepang,2016,,40,1,Normal
71,CCTV071,CCTV ,Sony,,Jepang,2016,,40,1,Normal
72,CCTV072,CCTV ,Sony,,Jepang,2016,,40,1,Normal
73,CCTV073,CCTV ,Sony,,Jepang,2016,,40,1,Normal
74,CCTV074,CCTV ,Sony,,Jepang,2016,,40,1,Normal
75,CCTV075,CCTV ,Sony,,Jepang,2017,,60,1,Normal
76,CCTV076,CCTV ,Sony,,Jepang,2017,,60,1,Rusak
77,CCTV077,CCTV ,Sony,,Jepang,2017,,60,1,Normal
78,CCTV078,CCTV ,Vivotek,SD9364-EHL,China,2018,4,80,1,Normal
79,CCTV079,CCTV ,Vivotek,SD9364-EHL,China,2018,4,80,1,Rusak
80,CCTV080,CCTV ,Vivotek,SD9364-EHL,China,2018,3,80,1,Rusak
81,CCTV081,CCTV ,Vivotek,SD9364-EHL,China,2018,2,80,1,Rusak
82,CCTV082,CCTV ,Vivotek,SD9364-EHL,China,2018,1,80,1,Normal
83,CCTV083,CCTV ,Vivotek,SD9364-EHL,China,2018,4,80,1,Normal
84,CCTV084,CCTV ,Vivotek,SD9364-EHL,China,2018,3,80,1,Normal
85,CCTV085,CCTV ,Vivotek,SD9364-EHL,China,2016,1,40,1,Normal
86,CCTV086,CCTV ,Vivotek,SD9364-EHL,China,2015,3,20,1,Normal
87,CCTV087,CCTV ,Vivotek,FD9381-HTV,China,2018,3,80,1,Perbaikan
88,CCTV088,CCTV ,Vivotek,FD9381-HTV,China,2014,1,0,1,Rusak
89,CCTV089,CCTV ,Vivotek,FD9381-HTV,China,2018,,80,1,Normal
90,CCTV090,CCTV ,Vivotek,FD9381-HTV,China,2018,,80,1,Normal
91,CCTV091,CCTV ,Vivotek,FD9381-HTV,China,2018,,80,1,Normal
92,CCTV092,CCTV ,Vivotek,FD9381-HTV,China,2018,,80,1,Normal
93,CCTV093,CCTV ,Vivotek,FD9381-HTV,China,2018,,80,1,Perbaikan
94,CCTV094,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Perbaikan
95,CCTV095,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Normal
96,CCTV096,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Perbaikan
97,CCTV097,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Normal
98,CCTV098,CCTV ,Vivotek,FD9167-HT,China,2019,3,100,1,Normal
99,CCTV099,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Normal
100,CCTV100,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Normal
101,CCTV101,CCTV ,Vivotek,FD9167-HT,China,2019,1,100,1,Normal
102,CCTV102,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
103,CCTV103,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Normal
104,CCTV104,CCTV ,Vivotek,FD9167-HT,China,2019,3,100,1,Normal
105,CCTV105,CCTV ,Vivotek,FD9167-HT,China,2019,3,100,1,Normal
106,CCTV106,CCTV ,Vivotek,FD9167-HT,China,2019,1,100,1,Normal
107,CCTV107,CCTV ,Vivotek,FD9167-HT,China,2019,1,100,1,Normal
108,CCTV108,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Perbaikan
109,CCTV109,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Perbaikan
110,CCTV110,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
111,CCTV111,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
112,CCTV112,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
113,CCTV113,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
114,CCTV114,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
115,CCTV115,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
116,CCTV116,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
117,CCTV117,CCTV ,Vivotek,FD9167-HT,China,2019,,100,1,Normal
118,CCTV118,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Normal
119,CCTV119,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Normal
120,CCTV120,CCTV ,Vivotek,FD9167-HT,China,2019,3,100,1,Normal
121,CCTV121,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Normal
122,CCTV122,CCTV ,Vivotek,FD9167-HT,China,2019,1,100,1,Perbaikan
123,CCTV123,CCTV ,Vivotek,FD9167-HT,China,2019,2,100,1,Perbaikan
124,CCTV124,CCTV ,Vivotek,FD9167-HT,China,2019,3,100,1,Normal
125,CCTV125,CCTV ,Vivotek,FD9167-HT,China,2019,4,100,1,Normal
126,CCTV126,CCTV ,Vivotek,FD9381-HTV,China,2016,1,40,1,Rusak
127,CCTV127,CCTV ,Vivotek,FD9381-HTV,China,2019,,100,1,Normal
128,CCTV128,CCTV ,Vivotek,FD9381-HTV,China,2019,,100,1,Normal
129,CCTV129,CCTV ,Vivotek,FD9381-HTV,China,2019,,100,1,Normal
130,CCTV130,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
131,CCTV131,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
132,CCTV132,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
133,CCTV133,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
134,CCTV134,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
135,CCTV135,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
136,CCTV136,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
137,CCTV137,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
138,CCTV138,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
139,CCTV139,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
140,CCTV140,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Perbaikan
141,CCTV141,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Normal
142,CCTV142,CCTV ,Vivotek,"FE9391-EV
",China,2019,,100,1,Perbaikan
143,CCTV143,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
144,CCTV144,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
145,CCTV145,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
146,CCTV146,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
147,CCTV147,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
148,CCTV148,CCTV ,Vivotek,SD9366-EHL,China,2019,,100,1,Normal
149,CCTV 0149 FACE RECOGNIS,CCTV ,huawei,,China,2015,1,20,1,Rusak
150,CCTV 050 FACE RECOGNIS,CCTV ,huawei,,China,2016,2,40,1,Perbaikan
151,CCTV 0151 FACE RECOGNIS,CCTV ,huawei,,China,2017,2,60,1,Normal
1,Display Checkin-01,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Perbaikan
2,Display Checkin-02,Display Checkin,Intel NUC/LG,-,UK/Korsel,2017,2,60,1,Normal
3,Display Checkin-03,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Normal
4,Display Checkin-04,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,1,40,1,Rusak
5,Display Checkin-05,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Perbaikan
6,Display Checkin-06,Display Checkin,Intel NUC/LG,-,UK/Korsel,2016,1,40,1,Rusak
7,Display Checkin-07,Display Checkin,Raspberry/LG,-,UK/Korsel,2019,4,100,1,Normal
8,Display Checkin-08,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,1,40,1,Rusak
9,Display Checkin-09,Display Checkin,Raspberry/LG,-,UK/Korsel,2015,1,20,1,Rusak
10,Display Checkin-10,Display Checkin,Raspberry/LG,-,UK/Korsel,2019,4,100,1,Normal
11,Display Checkin-11,Display Checkin,Raspberry/LG,-,UK/Korsel,2014,3,0,1,Rusak
12,Display Checkin-12,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Perbaikan
13,Display Checkin-13,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,3,40,1,Perbaikan
14,Display Checkin-14,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,1,40,1,Perbaikan
15,Display Checkin-15,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,3,40,1,Perbaikan
16,Display Checkin-16,Display Checkin,Intel NUC/LG,-,UK/Korsel,2017,3,60,1,Normal
17,Display Checkin-17,Display Checkin,Raspberry/LG,-,UK/Korsel,2015,1,20,1,Rusak
18,Display Checkin-18,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,3,40,1,Rusak
19,Display Checkin-19,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Perbaikan
20,Display Checkin-20,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,1,40,1,Normal
21,Display Checkin-21,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,2,40,1,Normal
22,Display Checkin-22,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,3,40,1,Normal
23,Display Checkin-23,Display Checkin,Raspberry/LG,-,UK/Korsel,2019,4,100,1,Normal
24,Display Checkin-24,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,,40,1,Normal
25,Display Checkin-25,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,,40,1,Normal
26,Display Checkin-26,Display Checkin,Raspberry/LG,-,UK/Korsel,2016,,40,1,Normal
1,Main Power Switch Panel,Public Address System(PAS),TOA,PS-011B,Jepang,2016,1,80,1,Perbaikan
1,Microphone Receiver Panel,Public Address System(PAS),TOA,Z-FV200RI-AS,Jepang,2016,2,80,1,Perbaikan
1,Monitor Panel,Public Address System(PAS),TOA,MP-032B,Jepang,2016,3,80,1,Normal
1,Emergency Message Panel,Public Address System(PAS),TOA,Z-FV200EV-AS,Jepang,2016,4,80,1,Normal
1,Amplifier-01,Public Address System(PAS),TOA,DA-250DH,Jepang,2016,4,80,1,Normal
2,Amplifier-02,Public Address System(PAS),TOA,DA-250DH,Jepang,2016,2,80,1,Normal
3,Amplifier-03,Public Address System(PAS),TOA,DA-250DH,Jepang,2016,1,80,1,Normal
4,Amplifier-04,Public Address System(PAS),TOA,DA-250DH,Jepang,2016,3,80,1,Normal
5,Amplifier-05,Public Address System(PAS),TOA,DA-250DH,Jepang,2016,3,80,1,Normal
1,Pre-Amplifier-001,Public Address System(PAS),TOA,M-9000M2,Jepang,2014,1,67,1,Normal
2,Pre-Amplifier-002,Public Address System(PAS),TOA,M-9000M3,Jepang,2013,2,60,1,Normal
1,Mic-001,Public Address System(PAS),TOA,RM-200M,Jepang,2014,1,0,1,Rusak
2,Mic-002,Public Address System(PAS),TOA,RM-200M,Jepang,2016,2,40,1,Perbaikan
3,Mic-003,Public Address System(PAS),TOA,ZM-660M,Indonesia,2019,4,100,1,Normal
4,Mic-004,Public Address System(PAS),TOA,ZM-660M,Indonesia,2015,1,20,1,Perbaikan
5,Mic-005,Public Address System(PAS),TOA,ZM-660M,Indonesia,2016,2,40,1,Normal
6,Mic-006,Public Address System(PAS),TOA,,,2014,1,0,1,Rusak
7,Mic-007,Public Address System(PAS),TOA,,,2016,3,40,1,Perbaikan
6,Mic-AAS 1,Public Address System(PAS),TOA,,,2017,3,60,1,Normal
7,Mic-AAS 2,Public Address System(PAS),TOA,,,2017,4,60,1,Normal
8,Mic-AAS 3,Public Address System(PAS),TOA,,,2017,3,60,1,Normal
9,Mic-AAS 4,Public Address System(PAS),TOA,,,2017,2,60,1,Normal
1,Remote Sensing-01,Public Address System(PAS),TOA,,,2016,1,80,1,Normal
2,Remote Sensing-02,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
1,Ceiling Speaker-001,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
2,Ceiling Speaker-002,Public Address System(PAS),TOA,,,2016,1,80,1,Normal
3,Ceiling Speaker-003,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
4,Ceiling Speaker-004,Public Address System(PAS),TOA,,,2016,3,80,1,Normal
5,Ceiling Speaker-005,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
6,Ceiling Speaker-006,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
7,Ceiling Speaker-007,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
8,Ceiling Speaker-008,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
9,Ceiling Speaker-009,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
10,Ceiling Speaker-010,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
11,Ceiling Speaker-011,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
12,Ceiling Speaker-012,Public Address System(PAS),TOA,,,2016,1,80,1,Normal
13,Ceiling Speaker-013,Public Address System(PAS),TOA,,,2016,3,80,1,Normal
14,Ceiling Speaker-014,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
15,Ceiling Speaker-015,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
16,Ceiling Speaker-016,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
17,Ceiling Speaker-017,Public Address System(PAS),TOA,,,2016,2,80,1,Normal
18,Ceiling Speaker-018,Public Address System(PAS),TOA,,,2016,3,80,1,Normal
19,Ceiling Speaker-019,Public Address System(PAS),TOA,,,2016,4,80,1,Normal
20,Ceiling Speaker-020,Public Address System(PAS),TOA,,,2016,3,80,1,Perbaikan
21,Ceiling Speaker-021,Public Address System(PAS),TOA,,,2016,,80,1,Normal
22,Ceiling Speaker-022,Public Address System(PAS),TOA,,,2016,,80,1,Normal
23,Ceiling Speaker-023,Public Address System(PAS),TOA,,,2016,,80,1,Perbaikan
24,Ceiling Speaker-024,Public Address System(PAS),TOA,,,2016,,80,1,Normal
25,Ceiling Speaker-025,Public Address System(PAS),TOA,,,2016,,80,1,Normal
